EMPTYOBJECTIVE -----

// "HAVE A SAFE DAY"

ANSWERRADIO 拿起对讲机回答.

OPENGATES 找到打开大门的方法.

ENTERELEVATOR 跟随工程兵，进入电梯.

DORMELEVATOR 乘电梯到三层宿舍.

// HOSTILE TAKEOVER

UNLOCKELEVATOR 从外部寻找解锁电梯门的方法.

DORMITORIES 在该区域搜索其他幸存者.

LEAVEDORMS 离开宿舍区.

SECTOR_E 前往E区继续行动.

// HAZARDOUS ENVIRONMENT

GAMMALABS 找到进入伽马实验室的路径.

BIOSCIENTIST 到达科学家所在房间的内部.

ESCORTBIOSCI 护送科学家至伽马复合体入口.

SECTOR_E2 继续穿越E区的行程.

HEVSUIT 检查一套H.E.V防护服.

JOINNOVEMBER 加入11号小队.

// ON THE TRACK

LOCATEOSCAR 寻找奥斯卡小队.

RAILSYSTEM 经由铁路系统前进.

JOINLIMA 加入利马小队.

OLDLABSECTOR 前晚旧实验室区域.

// RECOVERY

RESTORECONNECTION 重新建立与H.E.C.U的连接.

JOINBRAVO 加入布拉沃小队.

// FIELD INTENSITY

EXTRACTIONPOINT 抵达撤离点.

// THE VERGE

// F.U.B.A.R.

// DEATHMATCH

ESCORTCLEANSCI 护送科学家到下一个终端.
MEETCLEANSCI 在对面与科学家会合.

// DEDUCTION

THINGSFORTRUCK 找到汽油和卡车钥匙.

KILLFINALGARG 击杀阻挡逃生路线的巨兽.

GETONTRUCK 上车.
