EMPTYTHOUGHT -----

// "HAVE A SAFE DAY"

BRIEFING 我们成功潜入了设施，至今未发现异常情况.然而，有士兵报告看到一些怪事.简报内容……非常简短.发生了一起事故，我们必须控制局势，这包括消灭当地人员.

KEVINRADIOMAN 原来我的基友凯文是我们任务中的无线电员.他是我永远可以信赖的人.

HOUNDEYES 那些三条腿的奇怪生物是什么？也许是实验产物吧？真是搞不懂.

// HOSTILE TAKEOVER

BROKENELEVATOR 电梯坏了.弗朗西斯正在里面尝试修理，但谁知道需要多长时间.在此期间，我会从外面查看一下.幸运的是，那个舱门很容易打开.

HEADCRABS 这些像螃蟹一样的生物是什么？我开始对上面的感到愤怒，他们在我们出动前没有告诉我们更多具体信息.但也许他们自己也并未完全了解当前形势.

TWOWOMEN 在那扇门关闭之前，我瞅见了两名女性.她们身穿某种防弹衣，并对军方持有敌意.但考虑到我们任务的本质，我无法评判她们.

CROSSFIRE 这简直疯了.同一间屋子里出现了三方冲突：设施人员、那些外星生物以及我们——海军陆战队.

ZOMBIES 我发现了乘坐另一部电梯的两名队员.他们的遭遇是任何人都不愿敌人遭受的命运.

POWERGENERATOR 气密舱门应该通往出口，但这里似乎停电了.我必须找到恢复电力供应的方法

LOCKEDAIRLOCK 那扇该死的门关上了，再也打不开.我开始理解弗朗西斯对这些障碍物的厌恶之情.现在，我还是自己一个人去吧.

TERRIBLEPLACE 有些这里的工作人员仍然视我为敌人。这一点必须铭记于心.

ALLYPERSONNEL 部分设施员工并不知道我们任务的真正目的。他们以为军队是来解救他们的。这其实对我而言可能有用，因为我现在与小队其他成员失去了联系.

// HAZARDOUS ENVIRONMENT

ENEMYPERSONNEL 有些这里的设施工作人员仍然视我为敌人。这一点必须铭记于心.

CREATURES 他们是创造了这些生物吗？至少可以肯定的是，他们确实在研究它们.

SIERRASQUAD 我找到了 雪乐山 小队的位置。确切地说，是找到了他们的遗骸.

GAMMAACCESS 现在我能够进入 伽马 实验室了。只需要确保这位科学家在必要的时间内活着就行.

SATELLITE 卫星？火箭发射？这个设施竟然还有一个太空计划？

HORNETGUN 我发现了一只外星士兵使用的“蜂巢枪”，已与其主人分离。是否应该我自己使用它作为武器呢？战争中，任何东西都可能成为“趁手”的工具。嘿嘿.

FREEMAN 凯文非常关心这个名叫弗里曼的家伙。他一定是个极度危险的人物。我不喜欢对当前事态的发展一无所知。至少凯文的信息很灵通.

// ON THE TRACK

SQUADOSCAR 小队被外星力量全灭了。现在我只能独自继续深入.

KINGPIN 那是什么可怕的生物？那个怪物独自就把整个小队撕成了碎片！虽然我已经设法把它赶走了，但有种预感我们还会再次相遇.

// WEAK FORCE

NEWFORCE 那些黑色行动部队……他们会与我们合作吗？他们值得信赖吗？

ALIENSOIL 不仅是外星生物凭空出现，现在看起来还有另一个世界的碎片开始渗透到这个复合体中.

// RECOVERY

OLDLABPORTAL 我踏入了那个传送门装置。反正那里即将爆炸，我别无选择。但我至今仍无法理解之后经历的一切……我的脑袋都要炸裂了.

FLASHLIGHT 夜视仪坏了。也许我能找个地方找到手电筒.

SECURITYGUARD 这个保安知道我们的任务，只要我不伤害他，他表示愿意提供帮助。反正我现在也没有盲目服从命令的立场.

GETTOSURFACE 我必须到达地表。从那里应该可以联系上 H.E.C.U. 的人.

RECONNECTION 我找到了一台无线电，并重新与凯文建立了联系。但在他的传输结束时传来的那些噪音……不是个好兆头。希望凯文一切安好.

// FIELD INTENSITY

HAPPYTOLEAVE 整个任务简直是一团糟。我现在真想立刻离开这个被神遗弃的地方.

EVACFAILED 撤离失败了，我只能独自行动。留在原地毫无帮助，或许我能找到其他人结伴而行.

// THE VERGE

XENPORTAL 这已经不是我第一次踏入传送门了。但这次感觉像是有什么东西或什么人在另一边呼唤我。也许我只是在胡思乱想吧。这个地方看起来像一场梦，而且是个糟糕的梦.

THEIRWORLD 这绝对不是梦。这个世界是真实的，只是它不属于我们。它是他们的世界.

HALLUCINATING 我开始听到和看到奇怪的东西。这些是这个世界的一部分，还是仅仅在我脑海里？我想那次跌落确实对我产生了不良影响.

BEYONDWORLD 在现实世界之外，甚至在这个世界之外，还有其他存在。或者这个地方一直在误导我，让我产生这样的想法.

// F.U.B.A.R.

BACKTOEARTH 我终于回到了地球。凯文通过无线电联系到了我，再次听到他的声音真是种解脱.

BLACKOPS 黑色行动部队明显有着自己的计划，他们并不友好.

KEVINWEIRD 于 凯文的声音听起来如此冷漠疏远。他为什么不透露自己的位置呢？

// DEATHMATCH

// DEDUCTION

TRUCKWAYOUT 我可以乘坐卡车离开这个地方。只需要收拾一些必需品。不过我没有钥匙，而且卡车也没油了.

KEVINISDEAD 事实证明凯文已经死了。我甚至无法确定我的大脑欺骗了我多久，让我一直以为听到了他的声音。我想，在这样的情况下任何人都可能陷入疯狂……现在我更想尽快离开这个地方.

/* end Thank you for the support of GMOS Big Ghost
